
16 - 4x4,in
0,000156
0,000280
0,000219
0,000238
0,000319
0,000196
0,000259
0,000311
0,002662
0,000219

8 - 4x4,in
0,000059
0,000060
0,000064
0,000058
0,000057
0,000056
0,000066
0,000057
0,000058
0,000061

4 - 4x4,in
0,000030
0,000016
0,000026
0,000018
0,000029
0,000017
0,000024
0,000015
0,000026
0,000018

2 - 4x4,in
0,000021
0,000024
0,000020
0,000017
0,000019
0,000024
0,000021
0,000021
0,000020
0,000019

16 - 4x4-nosol,in
0,031328
0,000281
0,018423
0,030554
0,033080
0,000181
0,000145
0,063522
0,000338
0,037488

8 - 4x4-nosol,in
0,000038
0,000036
0,000035
0,000044
0,000044
0,000037
0,000045
0,002791
0,000036
0,000045

4 - 4x4-nosol,in
0,000009
0,000007
0,000011
0,000010
0,000015
0,000009
0,000009
0,000011
0,000014
0,000011

2 - 4x4-nosol,in
0,000007
0,000004
0,000005
0,000006
0,000008
0,000009
0,000006
0,000007
0,000006
0,000008

16 - 9x9,in
2,264915
0,001193
0,309702
0,001455
0,001085
0,876269
0,070478
0,000882
0,000997
0,292735

8 - 9x9,in
0,137433
0,001030
0,139038
0,000881
0,001007
0,000485
0,394733
0,026594
0,000867
0,405838

4 - 9x9,in
0,000359
0,000315
0,000343
0,001079
0,000254
0,000191
0,000282
0,000195
0,000307
0,000463

2 - 9x9,in
0,000532
0,000380
0,000405
0,000385
0,000468
0,000418
0,000383
0,000466
0,000379
0,000507

16 - 9x9-nosol,in
57,912278
57,700514
58,047203
57,777148
57,702955
55,647796
60,337645
57,207163
58,745942
59,288295

8 - 9x9-nosol,in
28,759419
28,738796
28,515472
28,653030
27,950893
28,387127
28,224509
28,517907
28,195876
28,228629

4 - 9x9-nosol,in
18,295687
18,433358
18,292997
18,700830
18,274257
18,528321
18,454112
18,576558
18,214045
18,243001


4 - 16x16-zeros,in
0,003158
0,504822
0,037662
0,043259
0,056899
0,003217
0,025505
0,008979
0,007173
0,003550

8 - 16x16-zeros,in
1,264895
0,331703
0,561313
0,249421
0,196785
0,149941
0,068901
0,050896
0,213029
0,766465

2 - 16x16-zeros,in
0,042165
0,040808
0,041651
0,040675
0,040863
0,040561
0,041237
0,041967
0,042386
0,041272

4 - 16x16,in
0,439330
14,601716
2,450916


